Invoice	Date	Item Name	Net Sales
	Mar 21, 2018	김치순두부	10.88
			10.88
417612			
	Mar 21, 2018	해물파전	19.88
	Mar 21, 2018	비빔밥	10.88
	Mar 21, 2018	감자탕	39.88
			70.64
417611			
	Mar 21, 2018	해물파전	19.88
	Mar 21, 2018	잡채	18.88
	Mar 21, 2018	감자탕	29.88
	Mar 21, 2018	LA 갈비	19.88
			88.52
417598			
	Mar 21, 2018	해물파전	19.88
	Mar 21, 2018	김치순두부	10.88
	Mar 21, 2018	불고기	14.88
			45.64
417603			
	Mar 21, 2018	김치순두부	10.88
	Mar 21, 2018	갈비탕	12.88
			23.76
417634			
	Mar 21, 2018	김치순두부	10.88
	Mar 21, 2018	coca-cola	1.95
	Mar 21, 2018	불고기	14.88
			27.71
417635			
	Mar 21, 2018	김치순두부	10.88
			10.88
417606			
	Mar 21, 2018	김치순두부	10.88
	Mar 21, 2018	coca-cola	1.95
	Mar 21, 2018	된장순두부	10.88
	Mar 21, 2018	돌솥비빔밥	12.88
	Mar 21, 2018	비빔밥	10.88
	Mar 21, 2018	군만두	9.88
			57.35
417575			
	Mar 21, 2018	해물파전	19.88
			19.88
417566			
	Mar 21, 2018	해물파전	19.88
	Mar 21, 2018	비빔밥	10.88
	Mar 21, 2018	떡만두국	10.88
	Mar 21, 2018	만두접시	17.88
	Mar 21, 2018	보쌈	24.88
	Mar 21, 2018	쫄면	21.76
	Mar 21, 2018	칼국수	10.88
			117.04
417621			
	Mar 21, 2018	순대접시	16.88
	Mar 21, 2018	돌솥비빔밥	12.88
	Mar 21, 2018	따로국밥	10.88
	Mar 21, 2018	닭불고기	14.88
			55.52
417600			
	Mar 21, 2018	순대접시	22.88
	Mar 21, 2018	살고기당면	9.88
	Mar 21, 2018	갈비탕	12.88
			45.64
417637			
	Mar 21, 2018	순대접시	10.88
	Mar 21, 2018	Canadian Pitcher	25.90
	Mar 21, 2018	Cham Soju	38.85
	Mar 21, 2018	족발	26.88
	Mar 21, 2018	돼지불고기	14.88
	Mar 21, 2018	물냉면	32.64
			150.03
417601			
	Mar 21, 2018	잡채	18.88
	Mar 21, 2018	불고기	14.88
			33.76
417596			
	Mar 21, 2018	잡채	18.88
	Mar 21, 2018	돌솥비빔밥	12.88
	Mar 21, 2018	부대찌게	29.88
	Mar 21, 2018	LA 갈비	19.88
			81.52
417570			
	Mar 21, 2018	잡채	18.88
	Mar 21, 2018	양념치킨	18.88
	Mar 21, 2018	불고기	14.88
	Mar 21, 2018	찐만두	9.88
			62.52
417636			
	Mar 21, 2018	김치순두부	21.76
			21.76
417565			
	Mar 21, 2018	Diet Coke	1.95
	Mar 21, 2018	따로국밥	10.88
			12.83
417624			
	Mar 21, 2018	섞어순두부	10.88
	Mar 21, 2018	LA 갈비	19.88
			30.76
417581			
	Mar 21, 2018	coca-cola	1.95
